"","LeafLength","ID","Stress","Genotype","Day"
"113",3,"169","control","37",1
"114",3.8,"78","control","37",1
"115",2.5,"33","control","38",1
"116",1.5,"120","control","38",1
"117",2.2,"129","control","39",1
"118",3.6,"71","control","39",1
"119",3.1,"42","control","40",1
"120",1.9,"114","control","40",1
"121",1,"138","control","41",1
"122",1.9,"87","control","41",1
"123",2,"125","control","42",1
"124",1.9,"18","control","42",1
"125",2.1,"110","control","43",1
"126",1.7,"107","control","43",1
"127",3.1,"73","control","44",1
"128",1.2,"224","control","44",1
"129",4.1,"49","control","45",1
"130",3.1,"229","control","45",1
"131",2,"215","control","46",1
"132",2.6,"32","control","46",1
"133",1.5,"60","control","47",1
"134",2.9,"96","control","47",1
"135",3.2,"61","control","48",1
"136",1.9,"166","control","48",1
"137",2.2,"89","control","4",1
"138",2,"90","control","4",1
"139",2.9,"173","control","5",1
"140",1.9,"182","control","5",1
"141",1,"54","control","6",1
"142",1.9,"155","control","6",1
"143",2.8,"233","control","7",1
"144",2.6,"192","control","7",1
"145",2.1,"137","drought","8",1
"146",3.4,"151","drought","8",1
"147",1.9,"146","drought","9",1
"148",2.1,"112","drought","9",1
"149",1.6,"130","drought","10",1
"150",3.9,"208","drought","10",1
"151",4.8,"117","drought","11",1
"152",2.9,"30","drought","11",1
"153",3.8,"10","drought","12",1
"154",1.6,"92","drought","12",1
"155",5.5,"21","drought","13",1
"156",1.7,"119","drought","13",1
"157",2.7,"50","drought","14",1
"158",1.8,"86","drought","14",1
"159",2.1,"115","drought","15",1
"160",2.2,"148","drought","15",1
"161",4.3,"178","drought","16",1
"162",2.2,"128","drought","16",1
"163",4.9,"123","drought","1",1
"164",2.9,"232","drought","1",1
"165",4.5,"133","drought","17",1
"166",2,"226","drought","17",1
"167",2.9,"145","drought","18",1
"168",2.1,"143","drought","18",1
"169",2.5,"81","drought","19",1
"170",1.6,"196","drought","19",1
"171",2.3,"43","drought","20",1
"172",3.1,"160","drought","20",1
"173",4.2,"197","drought","21",1
"174",1.8,"238","drought","21",1
"175",1.9,"97","drought","22",1
"176",1.2,"188","drought","22",1
"177",2.5,"102","drought","23",1
"178",2.6,"44","drought","23",1
"179",2.2,"121","drought","24",1
"180",3.7,"218","drought","24",1
"181",5.1,"111","drought","2",1
"182",3.7,"219","drought","2",1
"183",2,"118","drought","25",1
"184",2.1,"190","drought","25",1
"185",4,"17","drought","26",1
"186",1.9,"161","drought","26",1
"187",3.5,"177","drought","27",1
"188",3.4,"183","drought","27",1
"189",1.8,"206","drought","28",1
"190",2,"72","drought","28",1
"191",1.9,"82","drought","29",1
"192",4.5,"100","drought","29",1
"193",3.4,"77","drought","30",1
"194",2.9,"11","drought","30",1
"195",1.4,"74","drought","31",1
"196",5.1,"23","drought","31",1
"197",2.1,"22","drought","32",1
"198",1.3,"170","drought","32",1
"199",3.9,"13","drought","33",1
"200",2.3,"94","drought","33",1
"201",1.6,"194","drought","34",1
"202",2.7,"51","drought","34",1
"203",2.2,"181","drought","3",1
"204",1.5,"228","drought","3",1
"205",2,"134","drought","35",1
"206",3.5,"127","drought","35",1
"207",1.6,"209","drought","36",1
"208",2.9,"163","drought","36",1
"209",3.3,"27","drought","37",1
"210",2.7,"203","drought","37",1
"211",2.6,"3","drought","38",1
"212",3.3,"131","drought","38",1
"213",1.3,"150","drought","39",1
"214",1.5,"216","drought","39",1
"215",3.6,"70","drought","40",1
"216",2.5,"99","drought","40",1
"217",3.2,"235","drought","41",1
"218",2.1,"124","drought","41",1
"219",2.7,"113","drought","42",1
"220",2.7,"141","drought","42",1
"221",3.4,"59","drought","43",1
"222",2.3,"83","drought","43",1
"223",1.8,"136","drought","44",1
"224",2.3,"212","drought","44",1
"225",1.1,"186","drought","45",1
"226",2.4,"20","drought","45",1
"227",1.6,"140","drought","46",1
"228",1.5,"176","drought","46",1
"229",2.2,"225","drought","47",1
"230",2.2,"80","drought","47",1
"231",1.8,"63","drought","48",1
"232",2.3,"147","drought","48",1
"233",2.2,"9","drought","4",1
"234",1.8,"79","drought","4",1
"235",3.1,"26","drought","5",1
"236",1.6,"158","drought","5",1
"237",3.2,"37","drought","6",1
"238",4,"75","drought","6",1
"239",3.5,"201","drought","7",1
"240",2.2,"68","drought","7",1
"241",2.4,"38","control","17",2
"242",2,"62","control","17",2
"243",3.4,"35","control","17",2
"244",2.4,"91","control","17",2
"245",2.1,"76","control","17",2
"246",1.7,"108","control","17",2
"247",6.1,"149","control","31",2
"248",6.8,"237","control","31",2
"249",4.1,"223","control","31",2
"250",2.5,"239","control","31",2
"251",2.4,"28","control","31",2
"252",3.3,"240","control","31",2
"253",3.2,"41","control","48",2
"254",2.8,"65","control","48",2
"255",3.1,"157","control","48",2
"256",2.8,"122","control","48",2
"257",3.3,"7","control","48",2
"258",1.9,"52","control","48",2
"259",4.4,"57","control","5",2
"260",3.9,"213","control","5",2
"261",3.3,"202","control","5",2
"262",2.8,"31","control","5",2
"263",2.9,"187","control","5",2
"264",2.2,"104","control","5",2
"265",2.5,"34","drought","17",2
"266",2.7,"98","drought","17",2
"267",5.9,"139","drought","17",2
"268",2.2,"171","drought","17",2
"269",2.1,"48","drought","17",2
"270",1.8,"132","drought","17",2
"271",5.5,"217","drought","31",2
"272",2.5,"230","drought","31",2
"273",2.4,"39","drought","31",2
"274",4.4,"179","drought","31",2
"275",4.9,"211","drought","31",2
"276",2.2,"184","drought","31",2
"277",3.3,"153","drought","48",2
"278",1.7,"162","drought","48",2
"279",8.8,"174","drought","48",2
"280",3.1,"47","drought","48",2
"281",2.4,"191","drought","48",2
"282",3.2,"199","drought","48",2
"283",5.1,"5","drought","5",2
"284",3.9,"165","drought","5",2
"285",2,"58","drought","5",2
"286",3.4,"214","drought","5",2
"287",2.3,"103","drought","5",2
"288",1.9,"12","drought","5",2
"289",1.8,"152","control","8",2
"290",3.6,"180","control","8",2
"291",3.4,"29","control","9",2
"292",4.2,"109","control","9",2
"293",3.4,"189","control","10",2
"294",3.6,"227","control","10",2
"295",3.7,"205","control","11",2
"296",3.9,"159","control","11",2
"297",2.5,"156","control","12",2
"298",3.6,"168","control","12",2
"299",2,"6","control","13",2
"300",4.2,"231","control","13",2
"301",2.7,"16","control","14",2
"302",3.2,"88","control","14",2
"303",3.1,"14","control","15",2
"304",2.2,"64","control","15",2
"305",3.2,"67","control","16",2
"306",3.7,"195","control","16",2
"307",5.6,"53","control","1",2
"308",2.1,"204","control","1",2
"309",2.2,"222","control","17",2
"310",2.4,"175","control","17",2
"311",3.3,"193","control","18",2
"312",2.3,"154","control","18",2
"313",3.5,"85","control","19",2
"314",2.1,"210","control","19",2
"315",2.4,"15","control","20",2
"316",1.9,"36","control","20",2
"317",2.4,"2","control","21",2
"318",2.9,"207","control","21",2
"319",5.1,"46","control","22",2
"320",1.9,"40","control","22",2
"321",2.8,"19","control","23",2
"322",4.8,"55","control","23",2
"323",5.1,"25","control","24",2
"324",3.4,"93","control","24",2
"325",3.2,"101","control","2",2
"326",4,"236","control","2",2
"327",3.4,"106","control","25",2
"328",2,"116","control","25",2
"329",4.4,"167","control","26",2
"330",1.8,"144","control","26",2
"331",5.4,"1","control","27",2
"332",2.6,"24","control","27",2
"333",6.2,"135","control","28",2
"334",1.9,"4","control","28",2
"335",4.7,"185","control","29",2
"336",2.8,"126","control","29",2
"337",5.3,"105","control","30",2
"338",2,"142","control","30",2
"339",2.1,"66","control","31",2
"340",2.2,"200","control","31",2
"341",4.2,"69","control","32",2
"342",2.7,"234","control","32",2
"343",2.2,"198","control","33",2
"344",2.9,"84","control","33",2
"345",4.4,"221","control","34",2
"346",2.7,"56","control","34",2
"347",3.2,"172","control","3",2
"348",1.6,"220","control","3",2
"349",4.6,"45","control","35",2
"350",3.1,"8","control","35",2
"351",2.2,"95","control","36",2
"352",1.8,"164","control","36",2
"353",4,"169","control","37",2
"354",4.8,"78","control","37",2
"355",3.3,"33","control","38",2
"356",2.1,"120","control","38",2
"357",2.9,"129","control","39",2
"358",4.9,"71","control","39",2
"359",3.9,"42","control","40",2
"360",2.9,"114","control","40",2
"361",1.8,"138","control","41",2
"362",2.6,"87","control","41",2
"363",2.7,"125","control","42",2
"364",2.7,"18","control","42",2
"365",3.1,"110","control","43",2
"366",2.4,"107","control","43",2
"367",4.2,"73","control","44",2
"368",2,"224","control","44",2
"369",5.4,"49","control","45",2
"370",4.7,"229","control","45",2
"371",2.7,"215","control","46",2
"372",3.4,"32","control","46",2
"373",2.2,"60","control","47",2
"374",3.3,"96","control","47",2
"375",3.9,"61","control","48",2
"376",2.7,"166","control","48",2
"377",2.9,"89","control","4",2
"378",2.5,"90","control","4",2
"379",4,"173","control","5",2
"380",3.1,"182","control","5",2
"381",1.9,"54","control","6",2
"382",2.7,"155","control","6",2
"383",4.1,"233","control","7",2
"384",3.6,"192","control","7",2
"385",2.6,"137","drought","8",2
"386",4.4,"151","drought","8",2
"387",2.9,"146","drought","9",2
"388",2.9,"112","drought","9",2
"389",2.2,"130","drought","10",2
"390",4.9,"208","drought","10",2
"391",6.4,"117","drought","11",2
"392",3.7,"30","drought","11",2
"393",4.7,"10","drought","12",2
"394",2.4,"92","drought","12",2
"395",7.2,"21","drought","13",2
"396",2.3,"119","drought","13",2
"397",4,"50","drought","14",2
"398",2.1,"86","drought","14",2
"399",2.8,"115","drought","15",2
"400",3.5,"148","drought","15",2
"401",5.8,"178","drought","16",2
"402",3.4,"128","drought","16",2
"403",6.1,"123","drought","1",2
"404",3.9,"232","drought","1",2
"405",5.8,"133","drought","17",2
"406",2.8,"226","drought","17",2
"407",3.6,"145","drought","18",2
"408",2.9,"143","drought","18",2
"409",3.5,"81","drought","19",2
"410",2.3,"196","drought","19",2
"411",2.9,"43","drought","20",2
"412",3.9,"160","drought","20",2
"413",2.4,"197","drought","21",2
"414",2.7,"238","drought","21",2
"415",2.5,"97","drought","22",2
"416",1.7,"188","drought","22",2
"417",3.4,"102","drought","23",2
"418",3.3,"44","drought","23",2
"419",2.8,"121","drought","24",2
"420",4.5,"218","drought","24",2
"421",6.4,"111","drought","2",2
"422",5,"219","drought","2",2
"423",2.3,"118","drought","25",2
"424",3.2,"190","drought","25",2
"425",5.5,"17","drought","26",2
"426",2.7,"161","drought","26",2
"427",4.9,"177","drought","27",2
"428",4.8,"183","drought","27",2
"429",3.1,"206","drought","28",2
"430",3,"72","drought","28",2
"431",2.6,"82","drought","29",2
"432",5.7,"100","drought","29",2
"433",4.4,"77","drought","30",2
"434",4.1,"11","drought","30",2
"435",1.8,"74","drought","31",2
"436",6.2,"23","drought","31",2
"437",3.4,"22","drought","32",2
"438",2.5,"170","drought","32",2
"439",5.1,"13","drought","33",2
"440",3.5,"94","drought","33",2
"441",2.3,"194","drought","34",2
"442",3.6,"51","drought","34",2
"443",3.1,"181","drought","3",2
"444",1.9,"228","drought","3",2
"445",2.6,"134","drought","35",2
"446",4.4,"127","drought","35",2
"447",2,"209","drought","36",2
"448",3.8,"163","drought","36",2
"449",4.5,"27","drought","37",2
"450",3.6,"203","drought","37",2
"451",3.3,"3","drought","38",2
"452",4.7,"131","drought","38",2
"453",2.2,"150","drought","39",2
"454",2,"216","drought","39",2
"455",5,"70","drought","40",2
"456",3,"99","drought","40",2
"457",4.6,"235","drought","41",2
"458",3.2,"124","drought","41",2
"459",3.5,"113","drought","42",2
"460",4,"141","drought","42",2
"461",4.4,"59","drought","43",2
"462",3,"83","drought","43",2
"463",2.8,"136","drought","44",2
"464",3.2,"212","drought","44",2
"465",2.2,"186","drought","45",2
"466",3.3,"20","drought","45",2
"467",2.6,"140","drought","46",2
"468",1.5,"176","drought","46",2
"469",3.3,"225","drought","47",2
"470",3.1,"80","drought","47",2
"471",2.5,"63","drought","48",2
"472",3,"147","drought","48",2
"473",3,"9","drought","4",2
"474",2.3,"79","drought","4",2
"475",4.4,"26","drought","5",2
"476",2.6,"158","drought","5",2
"477",4.1,"37","drought","6",2
"478",5.2,"75","drought","6",2
"479",4.8,"201","drought","7",2
"480",2.9,"68","drought","7",2
"481",3.4,"38","control","17",3
"482",2.8,"62","control","17",3
"483",4.6,"35","control","17",3
"484",3.3,"91","control","17",3
"485",3.2,"76","control","17",3
"486",2.2,"108","control","17",3
"487",7.3,"149","control","31",3
"488",8.3,"237","control","31",3
"489",5.5,"223","control","31",3
"490",3.4,"239","control","31",3
"491",3.3,"28","control","31",3
"492",4.4,"240","control","31",3
"493",4.4,"41","control","48",3
"494",4,"65","control","48",3
"495",4.3,"157","control","48",3
"496",4.3,"122","control","48",3
"497",4.2,"7","control","48",3
"498",2.4,"52","control","48",3
"499",6,"57","control","5",3
"500",5.2,"213","control","5",3
"501",4.4,"202","control","5",3
"502",3.8,"31","control","5",3
"503",4.1,"187","control","5",3
"504",2.9,"104","control","5",3
"505",3.3,"34","drought","17",3
"506",3.6,"98","drought","17",3
"507",6.7,"139","drought","17",3
"508",3,"171","drought","17",3
"509",3.8,"48","drought","17",3
"510",2.6,"132","drought","17",3
"511",6.9,"217","drought","31",3
"512",3.3,"230","drought","31",3
"513",3.3,"39","drought","31",3
"514",5.5,"179","drought","31",3
"515",6.5,"211","drought","31",3
"516",2.8,"184","drought","31",3
"517",4.2,"153","drought","48",3
"518",2.2,"162","drought","48",3
"519",10.1,"174","drought","48",3
"520",4.3,"47","drought","48",3
"521",3.3,"191","drought","48",3
"522",4.4,"199","drought","48",3
"523",6.7,"5","drought","5",3
"524",5.3,"165","drought","5",3
"525",2.6,"58","drought","5",3
"526",4.5,"214","drought","5",3
"527",3.1,"103","drought","5",3
"528",2.7,"12","drought","5",3
"529",2.3,"152","control","8",3
"530",4.4,"180","control","8",3
"531",4.8,"29","control","9",3
"532",5.2,"109","control","9",3
"533",4.4,"189","control","10",3
"534",4.8,"227","control","10",3
"535",4.9,"205","control","11",3
"536",5.6,"159","control","11",3
"537",3.5,"156","control","12",3
"538",4.7,"168","control","12",3
"539",2.5,"6","control","13",3
"540",5.1,"231","control","13",3
"541",3.4,"16","control","14",3
"542",4.4,"88","control","14",3
"543",4.1,"14","control","15",3
"544",2.9,"64","control","15",3
"545",4,"67","control","16",3
"546",4.9,"195","control","16",3
"547",7,"53","control","1",3
"548",2.7,"204","control","1",3
"549",3.1,"222","control","17",3
"550",3.4,"175","control","17",3
"551",4.5,"193","control","18",3
"552",3.2,"154","control","18",3
"553",4.9,"85","control","19",3
"554",3.1,"210","control","19",3
"555",2.9,"15","control","20",3
"556",2.6,"36","control","20",3
"557",3.1,"2","control","21",3
"558",3.8,"207","control","21",3
"559",6.1,"46","control","22",3
"560",2.5,"40","control","22",3
"561",4,"19","control","23",3
"562",5.7,"55","control","23",3
"563",6.7,"25","control","24",3
"564",4.5,"93","control","24",3
"565",4,"101","control","2",3
"566",5,"236","control","2",3
"567",4.3,"106","control","25",3
"568",2.7,"116","control","25",3
"569",5.2,"167","control","26",3
"570",2.4,"144","control","26",3
"571",6.6,"1","control","27",3
"572",3.7,"24","control","27",3
"573",8,"135","control","28",3
"574",2.8,"4","control","28",3
"575",6,"185","control","29",3
"576",3.9,"126","control","29",3
"577",6.4,"105","control","30",3
"578",2.8,"142","control","30",3
"579",3.3,"66","control","31",3
"580",3,"200","control","31",3
"581",5.5,"69","control","32",3
"582",3.6,"234","control","32",3
"583",3.1,"198","control","33",3
"584",3.8,"84","control","33",3
"585",5.7,"221","control","34",3
"586",3.4,"56","control","34",3
"587",4,"172","control","3",3
"588",2.2,"220","control","3",3
"589",5.5,"45","control","35",3
"590",3.8,"8","control","35",3
"591",4.1,"95","control","36",3
"592",2.3,"164","control","36",3
"593",5.2,"169","control","37",3
"594",5.7,"78","control","37",3
"595",4.7,"33","control","38",3
"596",2.8,"120","control","38",3
"597",3.8,"129","control","39",3
"598",6.1,"71","control","39",3
"599",5.2,"42","control","40",3
"600",4,"114","control","40",3
"601",2.3,"138","control","41",3
"602",3.4,"87","control","41",3
"603",3,"125","control","42",3
"604",3.4,"18","control","42",3
"605",3.8,"110","control","43",3
"606",3.2,"107","control","43",3
"607",5.1,"73","control","44",3
"608",2.5,"224","control","44",3
"609",7.2,"49","control","45",3
"610",6.1,"229","control","45",3
"611",3.7,"215","control","46",3
"612",4.6,"32","control","46",3
"613",3.8,"60","control","47",3
"614",4.3,"96","control","47",3
"615",4.8,"61","control","48",3
"616",3.7,"166","control","48",3
"617",3.2,"89","control","4",3
"618",3.1,"90","control","4",3
"619",5.2,"173","control","5",3
"620",4.2,"182","control","5",3
"621",2.9,"54","control","6",3
"622",3.3,"155","control","6",3
"623",5.4,"233","control","7",3
"624",4.9,"192","control","7",3
"625",3.7,"137","drought","8",3
"626",5.2,"151","drought","8",3
"627",3.9,"146","drought","9",3
"628",3.7,"112","drought","9",3
"629",3.1,"130","drought","10",3
"630",5.6,"208","drought","10",3
"631",7.7,"117","drought","11",3
"632",5.3,"30","drought","11",3
"633",6.3,"10","drought","12",3
"634",3.6,"92","drought","12",3
"635",8.4,"21","drought","13",3
"636",2.8,"119","drought","13",3
"637",5.2,"50","drought","14",3
"638",2.6,"86","drought","14",3
"639",4.2,"115","drought","15",3
"640",4.7,"148","drought","15",3
"641",6.9,"178","drought","16",3
"642",4.5,"128","drought","16",3
"643",7.5,"123","drought","1",3
"644",5.1,"232","drought","1",3
"645",6.7,"133","drought","17",3
"646",3.9,"226","drought","17",3
"647",5,"145","drought","18",3
"648",3.6,"143","drought","18",3
"649",4.7,"81","drought","19",3
"650",3,"196","drought","19",3
"651",4,"43","drought","20",3
"652",5,"160","drought","20",3
"653",3.6,"197","drought","21",3
"654",3.5,"238","drought","21",3
"655",3.4,"97","drought","22",3
"656",2.3,"188","drought","22",3
"657",4.5,"102","drought","23",3
"658",4.4,"44","drought","23",3
"659",3.7,"121","drought","24",3
"660",5,"218","drought","24",3
"661",7,"111","drought","2",3
"662",6.3,"219","drought","2",3
"663",3.2,"118","drought","25",3
"664",4.5,"190","drought","25",3
"665",6.7,"17","drought","26",3
"666",3.6,"161","drought","26",3
"667",6,"177","drought","27",3
"668",5.7,"183","drought","27",3
"669",4.4,"206","drought","28",3
"670",4.1,"72","drought","28",3
"671",3.7,"82","drought","29",3
"672",7,"100","drought","29",3
"673",5.5,"77","drought","30",3
"674",5.1,"11","drought","30",3
"675",2.2,"74","drought","31",3
"676",7.7,"23","drought","31",3
"677",4.3,"22","drought","32",3
"678",3.2,"170","drought","32",3
"679",6.4,"13","drought","33",3
"680",4.7,"94","drought","33",3
"681",3.1,"194","drought","34",3
"682",4.9,"51","drought","34",3
"683",4.2,"181","drought","3",3
"684",2.5,"228","drought","3",3
"685",3.6,"134","drought","35",3
"686",5.4,"127","drought","35",3
"687",3,"209","drought","36",3
"688",4.6,"163","drought","36",3
"689",5.7,"27","drought","37",3
"690",4.7,"203","drought","37",3
"691",4.4,"3","drought","38",3
"692",5.9,"131","drought","38",3
"693",2.9,"150","drought","39",3
"694",2.6,"216","drought","39",3
"695",6.4,"70","drought","40",3
"696",4,"99","drought","40",3
"697",5.8,"235","drought","41",3
"698",4.2,"124","drought","41",3
"699",4.5,"113","drought","42",3
"700",4.4,"141","drought","42",3
"701",5.6,"59","drought","43",3
"702",3.8,"83","drought","43",3
"703",3.6,"136","drought","44",3
"704",4,"212","drought","44",3
"705",2.9,"186","drought","45",3
"706",4.3,"20","drought","45",3
"707",3.4,"140","drought","46",3
"708",2.2,"176","drought","46",3
"709",4.2,"225","drought","47",3
"710",4,"80","drought","47",3
"711",3.3,"63","drought","48",3
"712",4.1,"147","drought","48",3
"713",3.9,"9","drought","4",3
"714",3.2,"79","drought","4",3
"715",5.7,"26","drought","5",3
"716",3.3,"158","drought","5",3
"717",5.3,"37","drought","6",3
"718",6.3,"75","drought","6",3
"719",6.7,"201","drought","7",3
"720",3.9,"68","drought","7",3
"721",4.3,"38","control","17",4
"722",3.9,"62","control","17",4
"723",6,"35","control","17",4
"724",4.4,"91","control","17",4
"725",4.4,"76","control","17",4
"726",3.5,"108","control","17",4
"727",8.1,"149","control","31",4
"728",9.2,"237","control","31",4
"729",7,"223","control","31",4
"730",4.7,"239","control","31",4
"731",4.4,"28","control","31",4
"732",6.1,"240","control","31",4
"733",5.5,"41","control","48",4
"734",5.3,"65","control","48",4
"735",5.7,"157","control","48",4
"736",5.2,"122","control","48",4
"737",5.3,"7","control","48",4
"738",3.5,"52","control","48",4
"739",7.5,"57","control","5",4
"740",6.4,"213","control","5",4
"741",5.8,"202","control","5",4
"742",5.2,"31","control","5",4
"743",5.2,"187","control","5",4
"744",3.8,"104","control","5",4
"745",4.1,"34","drought","17",4
"746",4.4,"98","drought","17",4
"747",7.4,"139","drought","17",4
"748",3.9,"171","drought","17",4
"749",3.4,"48","drought","17",4
"750",3.2,"132","drought","17",4
"751",7.8,"217","drought","31",4
"752",4.2,"230","drought","31",4
"753",4.4,"39","drought","31",4
"754",6.5,"179","drought","31",4
"755",8.1,"211","drought","31",4
"756",4,"184","drought","31",4
"757",5.3,"153","drought","48",4
"758",3.4,"162","drought","48",4
"759",10.4,"174","drought","48",4
"760",5.2,"47","drought","48",4
"761",4.6,"191","drought","48",4
"762",5.4,"199","drought","48",4
"763",8.2,"5","drought","5",4
"764",6.6,"165","drought","5",4
"765",3.5,"58","drought","5",4
"766",5.8,"214","drought","5",4
"767",4.1,"103","drought","5",4
"768",3.3,"12","drought","5",4
"769",3,"152","control","8",4
"770",5.7,"180","control","8",4
"771",6,"29","control","9",4
"772",6.2,"109","control","9",4
"773",5.8,"189","control","10",4
"774",5.7,"227","control","10",4
"775",6.9,"205","control","11",4
"776",7.1,"159","control","11",4
"777",5.1,"156","control","12",4
"778",5.6,"168","control","12",4
"779",3.2,"6","control","13",4
"780",6.8,"231","control","13",4
"781",4.7,"16","control","14",4
"782",5.4,"88","control","14",4
"783",5.5,"14","control","15",4
"784",3.7,"64","control","15",4
"785",5.2,"67","control","16",4
"786",6.5,"195","control","16",4
"787",8.3,"53","control","1",4
"788",3.9,"204","control","1",4
"789",4,"222","control","17",4
"790",4.5,"175","control","17",4
"791",5.6,"193","control","18",4
"792",4.3,"154","control","18",4
"793",5.7,"85","control","19",4
"794",3.6,"210","control","19",4
"795",4.1,"15","control","20",4
"796",3.2,"36","control","20",4
"797",4.2,"2","control","21",4
"798",5.2,"207","control","21",4
"799",7.1,"46","control","22",4
"800",3.4,"40","control","22",4
"801",5,"19","control","23",4
"802",6.7,"55","control","23",4
"803",7.6,"25","control","24",4
"804",5.7,"93","control","24",4
"805",5.1,"101","control","2",4
"806",6.7,"236","control","2",4
"807",4.8,"106","control","25",4
"808",3.7,"116","control","25",4
"809",6,"167","control","26",4
"810",3.2,"144","control","26",4
"811",7.8,"1","control","27",4
"812",4.9,"24","control","27",4
"813",8.7,"135","control","28",4
"814",3.8,"4","control","28",4
"815",6.9,"185","control","29",4
"816",5,"126","control","29",4
"817",7.3,"105","control","30",4
"818",3.7,"142","control","30",4
"819",3.8,"66","control","31",4
"820",4,"200","control","31",4
"821",6.5,"69","control","32",4
"822",4.6,"234","control","32",4
"823",4.2,"198","control","33",4
"824",4.7,"84","control","33",4
"825",6.4,"221","control","34",4
"826",4.6,"56","control","34",4
"827",5.1,"172","control","3",4
"828",2.9,"220","control","3",4
"829",6.3,"45","control","35",4
"830",4.9,"8","control","35",4
"831",5.3,"95","control","36",4
"832",3,"164","control","36",4
"833",6.1,"169","control","37",4
"834",6.5,"78","control","37",4
"835",5.6,"33","control","38",4
"836",3.7,"120","control","38",4
"837",5.2,"129","control","39",4
"838",7.2,"71","control","39",4
"839",6.2,"42","control","40",4
"840",5,"114","control","40",4
"841",3.2,"138","control","41",4
"842",4.3,"87","control","41",4
"843",3.4,"125","control","42",4
"844",4.2,"18","control","42",4
"845",4.8,"110","control","43",4
"846",4.2,"107","control","43",4
"847",6.1,"73","control","44",4
"848",3.5,"224","control","44",4
"849",8.2,"49","control","45",4
"850",7.3,"229","control","45",4
"851",5,"215","control","46",4
"852",5.8,"32","control","46",4
"853",4.2,"60","control","47",4
"854",5.6,"96","control","47",4
"855",5.4,"61","control","48",4
"856",4.6,"166","control","48",4
"857",4.2,"89","control","4",4
"858",4,"90","control","4",4
