Time,Replicates,Treatment,Response,Concentration,Biomass,Initial,Yield,GrowthRate,A,logA,sectionalGR,Trend_Growth,Trend_Yield
24,2,0.305,0.008,0.305,1.8029739445782986,1.000002242486023,0.8029717020922755,0.5894352504842224,0.40148585104613765,0.29471762524211126,0.5894352504842224,decrease,decrease
24,2,0.977,0.006,0.977,1.325049607779419,1.000002242486023,0.32504736529339584,0.28144765608734745,0.16252368264669803,0.14072382804367373,0.28144765608734745,decrease,decrease
24,2,3.13,0.009,3.13,2.0452786358618917,1.000002242486023,1.0452763933758686,0.7155317899849646,0.5226381966879343,0.35776589499248235,0.7155317899849646,decrease,decrease
24,2,10,0.004,10,0.8584436527576147,1.000002242486023,-0.1415585897284084,-0.1526364778102688,-0.0707792948642042,-0.07631823890513441,-0.1526364778102688,decrease,decrease
24,3,Control,0.013,0,3.0319743414892155,1.000002242486023,2.0319720990031924,1.109211762691289,1.015986049501596,0.5546058813456444,1.109211762691289,decrease,decrease
24,3,2.98E-2,0.011,0.0298,2.5354438443427947,1.000002242486023,1.5354416018567716,0.9303664657595381,0.7677208009283858,0.4651832328797691,0.9303664657595381,decrease,decrease
24,3,0.0954,0.012,0.0954,2.78297813773287,1.000002242486023,1.7829758952468469,1.02351938438184,0.8914879476234234,0.5117596921909199,1.02351938438184,decrease,decrease
24,3,0.305,0.008,0.305,1.8029739445782986,1.000002242486023,0.8029717020922755,0.5894352504842224,0.40148585104613765,0.29471762524211126,0.5894352504842224,decrease,decrease
24,3,0.977,0.007,0.977,1.562803036262068,1.000002242486023,0.5628007937760449,0.44647878454808165,0.28140039688802254,0.22323939227404083,0.44647878454808165,decrease,decrease
24,3,3.13,0.007,3.13,1.562803036262068,1.000002242486023,0.5628007937760449,0.44647878454808165,0.28140039688802254,0.22323939227404083,0.44647878454808165,decrease,decrease
24,3,10,0.004,10,0.8584436527576147,1.000002242486023,-0.1415585897284084,-0.1526364778102688,-0.0707792948642042,-0.07631823890513441,-0.1526364778102688,decrease,decrease
24,4,Control,0.013,0,3.0319743414892155,1.000002242486023,2.0319720990031924,1.109211762691289,1.015986049501596,0.5546058813456444,1.109211762691289,decrease,decrease
24,4,2.98E-2,0.012,0.0298,2.78297813773287,1.000002242486023,1.7829758952468469,1.02351938438184,0.8914879476234234,0.5117596921909199,1.02351938438184,decrease,decrease
24,4,0.0954,0.012,0.0954,2.78297813773287,1.000002242486023,1.7829758952468469,1.02351938438184,0.8914879476234234,0.5117596921909199,1.02351938438184,decrease,decrease
24,4,0.305,0.009,0.305,2.0452786358618917,1.000002242486023,1.0452763933758686,0.7155317899849646,0.5226381966879343,0.35776589499248235,0.7155317899849646,decrease,decrease
24,4,0.977,0.009,0.977,2.0452786358618917,1.000002242486023,1.0452763933758686,0.7155317899849646,0.5226381966879343,0.35776589499248235,0.7155317899849646,decrease,decrease
24,4,3.13,0.006,3.13,1.325049607779419,1.000002242486023,0.32504736529339584,0.28144765608734745,0.16252368264669803,0.14072382804367373,0.28144765608734745,decrease,decrease
24,4,10,0.007,10,1.562803036262068,1.000002242486023,0.5628007937760449,0.44647878454808165,0.28140039688802254,0.22323939227404083,0.44647878454808165,decrease,decrease
48,1,Control,0.052,0,13.374601016081503,1.000002242486023,12.37459877359548,1.2966776096401378,8.469624581688617,2.4852281224827117,1.4048047064377014,decrease,decrease
48,1,2.98E-2,0.045,0.0298,11.456660074771145,1.000002242486023,10.456657832285122,1.2192844921667838,7.011304811389408,2.242803876548624,1.4150495999517276,decrease,decrease
48,1,0.0954,0.052,0.0954,13.374601016081503,1.000002242486023,12.37459877359548,1.2966776096401378,8.469624581688617,2.4852281224827117,1.4048047064377014,decrease,decrease
48,1,0.305,0.029,0.305,7.15772835058351,1.000002242486023,6.157726108097487,0.984095209338431,4.1241394474246125,1.699626999323396,1.2526586286918973,decrease,decrease
48,1,0.977,0.008,0.977,1.8029739445782986,1.000002242486023,0.8029717020922755,0.2947176252421112,0.7265332163395337,0.5761652813294587,0.307987594396875,decrease,decrease
48,1,3.13,0.004,3.13,0.8584436527576147,1.000002242486023,-0.1415585897284084,-0.0763182389051344,0.25426807042919175,0.20512941718221306,-0.43408413389761624,decrease,decrease
48,1,10,0.005,10,1.0900891723964465,1.000002242486023,0.09008692991042344,0.04312862997467509,1.0903198583310802,0.7586604199596398,-0.6292745300356144,decrease,decrease
48,2,Control,0.057,0,14.755930678138439,1.000002242486023,13.755928435652416,1.3458214196818308,9.160289412717084,2.534371932524405,1.5030923265210874,decrease,decrease
48,2,2.98E-2,0.043,0.0298,10.912402351281711,1.000002242486023,9.912400108795689,1.1949488651530102,6.739175949644691,2.2184682495348502,1.3663783459241805,decrease,decrease
48,2,0.0954,0.045,0.0954,11.456660074771145,1.000002242486023,10.456657832285122,1.2192844921667838,7.011304811389408,2.242803876548624,1.4150495999517276,decrease,decrease
48,2,0.305,0.026,0.305,6.368001814416732,1.000002242486023,5.367999571930708,0.9256417454928916,3.48697148805763,1.5150769959771142,1.2618482405015605,decrease,decrease
48,2,0.977,0.006,0.977,1.325049607779419,1.000002242486023,0.32504736529339584,0.14072382804367373,0.48757104794009387,0.4221714841310212,0,decrease,decrease
48,2,3.13,0.003,3.13,0.6308912165967299,1.000002242486023,-0.36911102588929323,-0.23031203610357245,0.8607208804312221,0.4852197538813922,-1.1761558621921095,decrease,decrease
48,2,10,0.008,10,1.8029739445782986,1.000002242486023,0.8029717020922755,0.2947176252421112,0.25992726131772936,0.14208114743184241,0.7420717282944913,decrease,decrease
48,3,Control,0.052,0,13.374601016081503,1.000002242486023,12.37459877359548,1.2966776096401378,8.219271485800931,2.4058893723314267,1.4841434565889866,decrease,decrease
48,3,2.98E-2,0.044,0.0298,11.184312925322716,1.000002242486023,10.184310682836694,1.2072549611742616,6.627596943275119,2.1376214269337996,1.4841434565889848,decrease,decrease
48,3,0.0954,0.052,0.0954,13.374601016081503,1.000002242486023,12.37459877359548,1.2966776096401378,7.970275282044586,2.3201969940219778,1.5698358348984356,decrease,decrease
48,3,0.305,0.028,0.305,6.893813971545517,1.000002242486023,5.893811729059493,0.9653111205685333,3.7498775666220223,1.5547463710527558,1.3411869906528442,decrease,decrease
48,3,0.977,0.01,0.977,2.289494911849102,1.000002242486023,1.2894926693630788,0.4141644941219212,1.2075471284575845,0.8606432786700029,0.3818502036957608,decrease,decrease
48,3,3.13,0.004,3.13,0.8584436527576147,1.000002242486023,-0.1415585897284084,-0.0763182389051344,0.49202149891184077,0.37016054564294726,-0.5991152623583504,decrease,decrease
48,3,10,0.01,10,2.289494911849102,1.000002242486023,1.2894926693630788,0.4141644941219212,0.5031877449531311,0.26152801631165246,0.9809654660541112,decrease,decrease
48,4,Control,0.057,0,14.755930678138439,1.000002242486023,13.755928435652416,1.3458214196818308,8.9099363168294,2.4550331823731195,1.5824310766723726,decrease,decrease
48,4,2.98E-2,0.04,0.0298,10.099386579666833,1.000002242486023,9.09938433718081,1.1562362224164136,6.332668063837252,2.1797556067982535,1.2889530604509871,decrease,decrease
48,4,0.0954,0.053,0.0954,13.650144932434129,1.000002242486023,12.650142689948106,1.306873948425917,8.1080472402209,2.330393332807757,1.5902285124699942,decrease,decrease
48,4,0.305,0.026,0.305,6.368001814416732,1.000002242486023,5.367999571930708,0.9256417454928916,3.7292761793412232,1.6411735354778565,1.1357517010008185,decrease,decrease
48,4,0.977,0.008,0.977,1.8029739445782986,1.000002242486023,0.8029717020922755,0.2947176252421112,1.4467622444220065,1.0102494152270758,-0.12609653950074218,decrease,decrease
48,4,3.13,0.008,3.13,1.8029739445782986,1.000002242486023,0.8029717020922755,0.2947176252421112,0.7265332163395337,0.5761652813294587,0.307987594396875,decrease,decrease
48,4,10,0.004,10,0.8584436527576147,1.000002242486023,-0.1415585897284084,-0.0763182389051344,0.49202149891184077,0.37016054564294726,-0.5991152623583504,decrease,decrease
72,1,Control,0.217,0,61.73493915221561,1.000002242486023,60.73493690972958,1.3742826009690223,45.024392423351145,5.843329633576383,1.529492583626792,decrease,decrease
72,1,2.98E-2,0.197,0.0298,55.66388068372275,1.000002242486023,54.663878441236726,1.3397764108049728,39.57157294815033,5.471752984922867,1.5807602480813512,decrease,decrease
72,1,0.0954,0.192,0.0954,54.15273825042205,1.000002242486023,53.15273600793602,1.330602099186603,41.23329197245437,5.777808880902754,1.3984510782795336,decrease,decrease
72,1,0.305,0.076,0.305,20.078160383196845,1.000002242486023,19.078158140710823,0.9998768112535129,16.74208157182877,4.183537425542097,1.0314400150836769,decrease,decrease
72,1,0.977,0.015,0.977,3.533946957628914,1.000002242486023,2.533944715142891,0.42080437404715254,2.394991424957117,1.5020894676422984,0.6729778716572351,decrease,decrease
72,1,3.13,0.006,3.13,1.325049607779419,1.000002242486023,0.32504736529339584,0.09381588536244916,0.34601245821168547,0.2695350063207524,0.43408413389761624,decrease,decrease
72,1,10,0.002,10,0.4087277618047866,1.000002242486023,-0.5912744806812364,-0.2982360687015871,0.8397260829456737,0.3544349468819344,-0.9809654660541114,decrease,decrease
72,2,Control,0.207,0,58.6942326803754,1.000002242486023,57.694230437889374,1.3574464095878016,44.885368849487975,5.916362966587938,1.380696389399744,decrease,decrease
72,2,2.98E-2,0.185,0.0298,52.04181681526528,1.000002242486023,51.04181457277925,1.3173484408170613,37.216283290432166,5.389439775913452,1.562147592145163,decrease,decrease
72,2,0.0954,0.179,0.0954,50.23693012817328,1.000002242486023,49.23692788568725,1.3055827245576075,36.8580976703756,5.420462455551819,1.4781791893392549,decrease,decrease
72,2,0.305,0.076,0.305,20.078160383196845,1.000002242486023,19.078158140710823,0.9998768112535129,15.710050344378397,3.940533958350275,1.1483469427747557,decrease,decrease
72,2,0.977,0.014,0.977,3.2823274373768987,1.000002242486023,2.2823251948908756,0.3961835042808581,1.7912573280322295,1.1571705685959819,0.9071028567552266,decrease,decrease
72,2,3.13,0.009,3.13,2.0452786358618917,1.000002242486023,1.0452763933758686,0.23851059666165486,1.1988035641745098,0.6126736127703021,1.1761558621921095,decrease,decrease
72,2,10,0.007,10,1.562803036262068,1.000002242486023,0.5628007937760449,0.1488262615160272,0.9428135092518896,0.6600381649479944,-0.1429564659361408,decrease,decrease
72,3,Control,0.199,0,56.26909997654746,1.000002242486023,55.26909773406143,1.3433810987012809,42.04111973962939,5.717638630023486,1.4367880768235675,decrease,decrease
72,3,2.98E-2,0.19,0.0298,53.54905460475092,1.000002242486023,52.549052362264895,1.3268652999382164,37.994278465825914,5.335174338015386,1.566085977466126,decrease,decrease
72,3,0.0954,0.174,0.0954,48.73611087132032,1.000002242486023,47.736108628834295,1.2954726697211547,38.02562898325947,5.560083608243847,1.2930627898831886,decrease,decrease
72,3,0.305,0.079,0.305,20.92782854594437,1.000002242486023,19.927826303458346,1.0136925133966923,16.66069658288094,4.040596261716328,1.1104552990530105,decrease,decrease
72,3,0.977,0.015,0.977,3.533946957628914,1.000002242486023,2.533944715142891,0.42080437404715254,3.1192658207105692,1.906014333862653,0.43408413389761513,decrease,decrease
72,3,3.13,0.003,3.13,0.6308912165967299,1.000002242486023,-0.36911102588929323,-0.15354135740238165,0.2366866911029899,0.06353027063424044,-0.3079875943968761,decrease,decrease
72,3,10,0.007,10,1.562803036262068,1.000002242486023,0.5628007937760449,0.1488262615160272,1.4293344765226932,0.8989319027076145,-0.3818502036957608,decrease,decrease
72,4,Control,0.186,0,52.34303684588704,1.000002242486023,51.343034603401016,1.3192722248154445,41.45941783635612,5.7797629392781165,1.2661738350826717,decrease,decrease
72,4,2.98E-2,0.17500000000000002,0.0298,49.0360340062841,1.000002242486023,48.03603176379807,1.2975177244150964,34.9003761143267,5.282268415837311,1.580080728412462,decrease,decrease
72,4,0.0954,0.209,0.0954,59.30156042947363,1.000002242486023,58.301558186987606,1.360877792443448,43.58389767868875,5.678583969898846,1.4688854804785105,decrease,decrease
72,4,0.305,0.075,0.305,19.79545882205173,1.000002242486023,18.79545657956571,0.9951501054966875,15.811004255089433,4.0595404392157795,1.1341668255042792,decrease,decrease
72,4,0.977,0.015,0.977,3.533946957628914,1.000002242486023,2.533944715142891,0.42080437404715254,3.1152204530395897,1.9361736015399158,0.6729778716572351,decrease,decrease
72,4,3.13,0.008,3.13,1.8029739445782986,1.000002242486023,0.8029717020922755,0.19647841682807413,1.5295049184318092,1.165600531813681,0,decrease,decrease
72,4,10,0.013,10,3.0319743414892155,1.000002242486023,2.0319720990031924,0.36973725423042964,1.4372282535492327,0.8484481880834573,1.2618482405015576,decrease,decrease
